date,world,name,has_estate
"document.getElementById('datetime-0.895370849514421').innerHTML = ldst_strftime(1517808558, 'YMD');",Ultros,Ardolia,No Estate or Plot
"document.getElementById('datetime-0.722039671825858').innerHTML = ldst_strftime(1517735280, 'YMD');",Durandal,Marimo Juice,No Estate or Plot
"document.getElementById('datetime-0.351214102768324').innerHTML = ldst_strftime(1517727696, 'YMD');",Zeromus,SISTER,No Estate or Plot
"document.getElementById('datetime-0.598658667428918').innerHTML = ldst_strftime(1517714934, 'YMD');",Tiamat,hachimitu,No Estate or Plot
"document.getElementById('datetime-0.299420343616397').innerHTML = ldst_strftime(1517682600, 'YMD');",Ridill,SleepingForest,No Estate or Plot
"document.getElementById('datetime-0.0825780205174631').innerHTML = ldst_strftime(1517674768, 'YMD');",Zeromus,PIT STOP,No Estate or Plot
"document.getElementById('datetime-0.00388674064079453').innerHTML = ldst_strftime(1517666605, 'YMD');",Durandal,Chatoneau,No Estate or Plot
"document.getElementById('datetime-0.807933038847008').innerHTML = ldst_strftime(1517653766, 'YMD');",Bahamut,TANTRUM,No Estate or Plot
"document.getElementById('datetime-0.897125675961938').innerHTML = ldst_strftime(1517619291, 'YMD');",Yojimbo,xQualyFC,No Estate or Plot
"document.getElementById('datetime-0.853941441826922').innerHTML = ldst_strftime(1517593332, 'YMD');",Zeromus,Niflheim,No Estate or Plot
"document.getElementById('datetime-0.410294336867963').innerHTML = ldst_strftime(1517574957, 'YMD');",Ultima,REOL,No Estate or Plot
"document.getElementById('datetime-0.814923775438398').innerHTML = ldst_strftime(1517572741, 'YMD');",Valefor,Graf,No Estate or Plot
"document.getElementById('datetime-0.713781652379993').innerHTML = ldst_strftime(1517826658, 'YMD');",Siren,JaHtMjo,No Estate or Plot
"document.getElementById('datetime-0.479010118547773').innerHTML = ldst_strftime(1517826450, 'YMD');",Zalera,OyTetya,No Estate or Plot
"document.getElementById('datetime-0.452878023629133').innerHTML = ldst_strftime(1517825864, 'YMD');",Coeurl,FjsFemH,No Estate or Plot
"document.getElementById('datetime-0.92943269571386').innerHTML = ldst_strftime(1517825821, 'YMD');",Adamantoise,MOkFnXwBOybNrfbw,No Estate or Plot
"document.getElementById('datetime-0.743280476331606').innerHTML = ldst_strftime(1517825726, 'YMD');",Midgardsormr,TpVpsfy,No Estate or Plot
"document.getElementById('datetime-0.0834292238012857').innerHTML = ldst_strftime(1517825268, 'YMD');",Faerie,KkfRpQs,No Estate or Plot
"document.getElementById('datetime-0.822414641924645').innerHTML = ldst_strftime(1517835853, 'YMD');",Phoenix,SFupHyd,No Estate or Plot
"document.getElementById('datetime-0.0638885603282411').innerHTML = ldst_strftime(1517834048, 'YMD');",Louisoix,Eorzea's Helden,No Estate or Plot
"document.getElementById('datetime-0.0720569173826533').innerHTML = ldst_strftime(1517833799, 'YMD');",Louisoix,Zodiac Age,No Estate or Plot
"document.getElementById('datetime-0.358809982291429').innerHTML = ldst_strftime(1517831766, 'YMD');",Phoenix,Irrenanstalt,No Estate or Plot
"document.getElementById('datetime-0.938865412974813').innerHTML = ldst_strftime(1517830725, 'YMD');",Omega,Moogle Moguls,No Estate or Plot
"document.getElementById('datetime-0.154442397942237').innerHTML = ldst_strftime(1517830657, 'YMD');",Louisoix,JAV Studios,No Estate or Plot
"document.getElementById('datetime-0.824582167606138').innerHTML = ldst_strftime(1517828179, 'YMD');",Zodiark,The Flock,No Estate or Plot
"document.getElementById('datetime-0.0842694956089645').innerHTML = ldst_strftime(1517817746, 'YMD');",Titan,moi-moi,No Estate or Plot
"document.getElementById('datetime-0.914092313395866').innerHTML = ldst_strftime(1517814063, 'YMD');",Titan,gpQeCla,No Estate or Plot
"document.getElementById('datetime-0.545008882460571').innerHTML = ldst_strftime(1517812053, 'YMD');",Hades,Tempo Rubato,No Estate or Plot
"document.getElementById('datetime-0.154855454784059').innerHTML = ldst_strftime(1517810917, 'YMD');",Pandaemonium,uGAVSaO,No Estate or Plot
"document.getElementById('datetime-0.403381163876375').innerHTML = ldst_strftime(1517810088, 'YMD');",Ixion,HvDWRRd,No Estate or Plot
"document.getElementById('datetime-0.070430072497512').innerHTML = ldst_strftime(1517806499, 'YMD');",Masamune,EureMoE,No Estate or Plot
"document.getElementById('datetime-0.892108955725455').innerHTML = ldst_strftime(1517801176, 'YMD');",Hades,Old Perch,No Estate or Plot
"document.getElementById('datetime-0.112546726233123').innerHTML = ldst_strftime(1517795346, 'YMD');",Belias,XmJKeTZ,No Estate or Plot
"document.getElementById('datetime-0.435412412022405').innerHTML = ldst_strftime(1517814850, 'YMD');",Tonberry,City of Mango,No Estate or Plot
"document.getElementById('datetime-0.414157554669686').innerHTML = ldst_strftime(1517814689, 'YMD');",Unicorn,XLOvULKXK,No Estate or Plot
"document.getElementById('datetime-0.495797671518414').innerHTML = ldst_strftime(1517812060, 'YMD');",Unicorn,QUEEN MARY,No Estate or Plot
"document.getElementById('datetime-0.609131645665066').innerHTML = ldst_strftime(1517792719, 'YMD');",Tonberry,qPLKTINMj,No Estate or Plot
"document.getElementById('datetime-0.248727394499571').innerHTML = ldst_strftime(1517773403, 'YMD');",Aegis,FINAL FANTASY XIV23,No Estate or Plot
"document.getElementById('datetime-0.832446513480235').innerHTML = ldst_strftime(1517768692, 'YMD');",Garuda,Archaique,No Estate or Plot
"document.getElementById('datetime-0.445776842870114').innerHTML = ldst_strftime(1517762567, 'YMD');",Typhon,fJhCPPUpWRpvcVxpNH,No Estate or Plot
"document.getElementById('datetime-0.393522303321525').innerHTML = ldst_strftime(1517761038, 'YMD');",Kujata,NmrcFJi,No Estate or Plot
"document.getElementById('datetime-0.4487868060551').innerHTML = ldst_strftime(1517758384, 'YMD');",Carbuncle,Liquid,No Estate or Plot
"document.getElementById('datetime-0.588797975660054').innerHTML = ldst_strftime(1517807985, 'YMD');",Brynhildr,tails and fails,No Estate or Plot
"document.getElementById('datetime-0.792357486116778').innerHTML = ldst_strftime(1517807829, 'YMD');",Exodus,klolNNs,No Estate or Plot
"document.getElementById('datetime-0.350216704896088').innerHTML = ldst_strftime(1517805678, 'YMD');",Hyperion,MogPoms,No Estate or Plot
"document.getElementById('datetime-0.0831974686064285').innerHTML = ldst_strftime(1517802192, 'YMD');",Excalibur,CHALLENGE ACCEPTED,No Estate or Plot
"document.getElementById('datetime-0.358095758289387').innerHTML = ldst_strftime(1517569555, 'YMD');",Zeromus,POMPOMPudding,No Estate or Plot
"document.getElementById('datetime-0.352157899073593').innerHTML = ldst_strftime(1517568762, 'YMD');",Alexander,Girard,No Estate or Plot
"document.getElementById('datetime-0.753218638879375').innerHTML = ldst_strftime(1517559992, 'YMD');",Fenrir,Venezian Galleass,No Estate or Plot
"document.getElementById('datetime-0.0193084582448009').innerHTML = ldst_strftime(1517825139, 'YMD');",Midgardsormr,HRZjRhI,No Estate or Plot
"document.getElementById('datetime-0.428060517367985').innerHTML = ldst_strftime(1517825036, 'YMD');",Sargatanas,cFKRdgJ,No Estate or Plot
"document.getElementById('datetime-0.0950572334716071').innerHTML = ldst_strftime(1517824439, 'YMD');",Siren,osdsuO,No Estate or Plot
"document.getElementById('datetime-0.602409511678427').innerHTML = ldst_strftime(1517823868, 'YMD');",Coeurl,Swagurais,No Estate or Plot
"document.getElementById('datetime-0.65843574943117').innerHTML = ldst_strftime(1517823704, 'YMD');",Jenova,cqaIAYswG,No Estate or Plot
"document.getElementById('datetime-0.424847433795083').innerHTML = ldst_strftime(1517822835, 'YMD');",Gilgamesh,The Royal Army,No Estate or Plot
"document.getElementById('datetime-0.860365311158585').innerHTML = ldst_strftime(1517827913, 'YMD');",Odin,qSksplR,No Estate or Plot
"document.getElementById('datetime-0.383527324012825').innerHTML = ldst_strftime(1517827395, 'YMD');",Lich,fSHYdKr,No Estate or Plot
"document.getElementById('datetime-0.527497198386005').innerHTML = ldst_strftime(1517826955, 'YMD');",Ragnarok,LdQbtnk,No Estate or Plot
"document.getElementById('datetime-0.789799509937168').innerHTML = ldst_strftime(1517826301, 'YMD');",Zodiark,brnEJLn,No Estate or Plot
"document.getElementById('datetime-0.759388143105465').innerHTML = ldst_strftime(1517826156, 'YMD');",Louisoix,JIe,No Estate or Plot
